CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12346.0,325,1,77183.6,1,1,4,114,Lost Customers
12347.0,1,7,4310.0,4,4,4,444,Champions
12348.0,74,4,1797.24,2,3,4,234,At Risk / Need Attention
12349.0,18,1,1757.55,3,1,4,314,Promising / Recent Buyers
12350.0,309,1,334.40000000000003,1,1,2,112,Lost Customers
12352.0,35,8,2506.04,3,4,4,344,Loyal Customers
12353.0,203,1,89.0,1,1,1,111,Lost Customers
12354.0,231,1,1079.4,1,1,3,113,Lost Customers
12355.0,213,1,459.40000000000003,1,1,2,112,Lost Customers
12356.0,22,3,2811.43,3,3,4,334,Loyal Customers
12357.0,32,1,6207.67,3,1,4,314,Promising / Recent Buyers
12358.0,1,2,1168.06,4,2,3,423,Promising / Recent Buyers
12359.0,57,4,6310.03,2,3,4,234,At Risk / Need Attention
12360.0,51,3,2662.06,2,3,4,234,At Risk / Need Attention
12361.0,286,1,189.9,1,1,1,111,Lost Customers
12362.0,2,10,5226.2300000000005,4,4,4,444,Champions
12363.0,109,2,552.0,2,2,2,222,Hibernating
12364.0,7,4,1313.1,4,3,3,433,Loyal Customers
12365.0,290,2,641.38,1,2,2,122,Hibernating
12367.0,3,1,168.9,4,1,1,411,Promising / Recent Buyers
12370.0,50,4,3541.94,3,3,4,334,Loyal Customers
12371.0,44,2,1887.96,3,2,4,324,Promising / Recent Buyers
12372.0,71,3,1298.04,2,3,3,233,At Risk / Need Attention
12373.0,310,1,364.6,1,1,2,112,Lost Customers
12374.0,24,1,742.9300000000001,3,1,3,313,Promising / Recent Buyers
12375.0,10,2,457.5,4,2,2,422,Promising / Recent Buyers
12377.0,314,2,1628.1200000000001,1,2,3,123,Hibernating
12378.0,129,1,4008.62,2,1,4,214,Hibernating
12379.0,81,2,852.24,2,2,3,223,Hibernating
12380.0,21,4,2724.81,3,3,4,334,Loyal Customers
12381.0,4,5,1845.31,4,3,4,434,Loyal Customers
12383.0,184,5,1850.56,1,3,4,134,At Risk / Need Attention
12384.0,28,2,585.27,3,2,2,322,Promising / Recent Buyers
12386.0,337,2,401.9,1,2,2,122,Hibernating
12388.0,15,6,2780.6600000000003,4,4,4,444,Champions
12390.0,79,1,549.84,2,1,2,212,Hibernating
12391.0,21,1,439.66,3,1,2,312,Promising / Recent Buyers
12393.0,71,4,1582.6000000000001,2,3,3,233,At Risk / Need Attention
12394.0,63,2,1272.48,2,2,3,223,Hibernating
12395.0,18,12,3018.63,3,4,4,344,Loyal Customers
12397.0,35,2,2409.9,3,2,4,324,Promising / Recent Buyers
12398.0,45,1,1635.6599999999999,3,1,3,313,Promising / Recent Buyers
12399.0,118,4,1108.65,2,3,3,233,At Risk / Need Attention
12401.0,302,1,84.3,1,1,1,111,Lost Customers
12402.0,322,1,225.60000000000002,1,1,1,111,Lost Customers
12403.0,49,1,427.7,3,1,2,312,Promising / Recent Buyers
12405.0,148,1,1710.39,1,1,4,114,Lost Customers
12406.0,21,2,3415.3,3,2,4,324,Promising / Recent Buyers
12407.0,49,5,1708.12,3,3,4,334,Loyal Customers
12408.0,32,5,2888.55,3,3,4,334,Loyal Customers
12409.0,78,3,11072.67,2,3,4,234,At Risk / Need Attention
12410.0,308,2,693.33,1,2,3,123,Hibernating
12412.0,74,3,1226.88,2,3,3,233,At Risk / Need Attention
12413.0,66,3,758.1,2,3,3,233,At Risk / Need Attention
12414.0,216,3,562.4100000000001,1,3,2,132,At Risk / Need Attention
12415.0,23,21,124914.53,3,4,4,344,Loyal Customers
12417.0,2,9,3649.1,4,4,4,444,Champions
12418.0,112,1,668.58,2,1,3,213,Hibernating
12420.0,63,1,600.39,2,1,2,212,Hibernating
12421.0,15,4,807.04,4,3,3,433,Loyal Customers
12422.0,95,3,803.5600000000001,2,3,3,233,At Risk / Need Attention
12423.0,0,8,1859.31,4,4,4,444,Champions
12424.0,162,2,1760.96,1,2,4,124,Hibernating
12425.0,77,1,777.2,2,1,3,213,Hibernating
12426.0,194,1,582.73,1,1,2,112,Lost Customers
12427.0,21,3,825.8000000000001,3,3,3,333,Loyal Customers
12428.0,25,9,7956.46,3,4,4,344,Loyal Customers
12429.0,8,4,3750.4,4,3,4,434,Loyal Customers
12430.0,42,1,256.4,3,1,1,311,Promising / Recent Buyers
12431.0,35,15,6419.95,3,4,4,344,Loyal Customers
12432.0,42,5,5059.32,3,3,4,334,Loyal Customers
12433.0,0,7,13375.87,4,4,4,444,Champions
12434.0,84,2,806.14,2,2,3,223,Hibernating
12435.0,79,2,7829.89,2,2,4,224,Hibernating
12436.0,99,1,509.01,2,1,2,212,Hibernating
12437.0,1,18,4951.41,4,4,4,444,Champions
12438.0,13,2,2906.85,4,2,4,424,Promising / Recent Buyers
12441.0,366,1,173.55,1,1,1,111,Lost Customers
